precinct_id,total_reg_2022,total_reg_2024,pct_GOP_2022,pct_GOP_2024,pct_turnout_2022,pct_absentee_vbm_2022,pct_early_2022,pct_election_day_2022
ALAMANCE-103,3544,3914,0.3597629796839729,0.3311190597853858,0.5671557562076749,0.05124378109452736,0.6402985074626866,0.3049751243781095
ALAMANCE-124,1791,1628,0.2914572864321608,0.3046683046683047,0.5589056393076494,0.03496503496503497,0.5124875124875125,0.4485514485514486
ALAMANCE-08N,2878,2780,0.38846421125781794,0.3960431654676259,0.5785267546907574,0.06006006006006006,0.3921921921921922,0.5441441441441441
ALAMANCE-13,3682,3491,0.2536664856056491,0.2692638212546548,0.4951113525258012,0.041689522764673616,0.5271530444322545,0.4251234229292375
ALAMANCE-06N,2502,2007,0.16666666666666666,0.19581464872944693,0.36290967226219023,0.0473568281938326,0.5859030837004405,0.3491189427312775
ALAMANCE-09N,2434,2431,0.3340180772391126,0.32620320855614976,0.5665571076417419,0.05148658448150834,0.47860768672951415,0.4655547498187092
ALAMANCE-10S1,6165,5586,0.2596918085969181,0.2554600787683494,0.516139497161395,0.05342551854179761,0.6288497800125707,0.3117536140791955
ALAMANCE-03N,3416,3185,0.3158665105386417,0.30832025117739403,0.49063231850117095,0.06861575178997613,0.600835322195704,0.324582338902148
ALAMANCE-03C,2369,2270,0.41367665681722243,0.4013215859030837,0.6931194596876319,0.058465286236297195,0.5426309378806333,0.3946406820950061
ALAMANCE-035,4703,4234,0.3231979587497342,0.3278223901747756,0.4490750584733149,0.041193181818181816,0.5634469696969697,0.38115530303030304
ALAMANCE-03W,3044,2862,0.38107752956636004,0.3756114605171209,0.6015111695137977,0.05243036592026215,0.5472419442927362,0.3992353904969962
ALAMANCE-07,3203,3082,0.496721823290665,0.5016223231667748,0.6272244770527631,0.026381284221005476,0.5156794425087108,0.45196615231458437
ALAMANCE-1210,2012,1674,0.24502982107355864,0.2801672640382318,0.4115308151093439,0.042270531400966184,0.4758454106280193,0.46980676328502413
ALAMANCE-126,1740,1711,0.39770114942528734,0.3892460549386324,0.7126436781609196,0.055645161290322584,0.5016129032258064,0.43870967741935485
ALAMANCE-10N,3568,3412,0.3394058295964126,0.33909730363423213,0.601457399103139,0.04193849021435228,0.6342031686859273,0.320596458527493
ALAMANCE-104,2278,2023,0.22388059701492538,0.21749876421156697,0.5184372256365233,0.04826418289585097,0.6714648602878917,0.275190516511431
ALAMANCE-127,4228,3747,0.15255439924314096,0.16706698692287164,0.4330652790917692,0.03713817586018569,0.6297105406881486,0.326597487711633
ALAMANCE-09S,4819,4549,0.3521477484955385,0.353704110793581,0.5663000622535795,0.04617075851960425,0.5218028581898131,0.4279956027849029
ALAMANCE-12N,3359,2907,0.08365584995534385,0.1001031991744066,0.4102411431973802,0.045718432510885344,0.5602322206095791,0.3838896952104499
ALAMANCE-02,3624,3591,0.5295253863134658,0.545530492898914,0.6421081677704195,0.028792436613665665,0.4782982380747744,0.487322733132789
ALAMANCE-129,1733,1587,0.4102712060011541,0.41965973534971646,0.599538372763993,0.06352261790182868,0.5572666025024061,0.37247353224254093
ALAMANCE-06W,1161,989,0.2222222222222222,0.2396359959555106,0.4082687338501292,0.04219409282700422,0.540084388185654,0.4008438818565401
ALAMANCE-06E,2391,2146,0.26348808030112925,0.27632805219012113,0.4968632371392723,0.030303030303030304,0.5909090909090909,0.3627946127946128
ALAMANCE-064,4602,4476,0.35419382877009997,0.3532171581769437,0.5910473707083876,0.045588235294117645,0.5963235294117647,0.35404411764705884
ALAMANCE-06S,3223,3246,0.3192677629537698,0.3179297597042514,0.5159789016444306,0.04690318701142514,0.5904990980156344,0.34636199639206255
ALAMANCE-11,3443,3326,0.28724949172233516,0.31238725195429945,0.5466163229741504,0.04197662061636557,0.5648246546227418,0.3873538788522848
ALAMANCE-128,2096,1636,0.16603053435114504,0.17053789731051344,0.32967557251908397,0.08393632416787265,0.5354558610709117,0.36034732272069464
ALAMANCE-12W,2056,1781,0.2704280155642023,0.2734418865805727,0.5627431906614786,0.052722558340535866,0.4580812445980985,0.4822817631806396
ALAMANCE-125,1989,1825,0.3368526897938663,0.33972602739726027,0.5590749120160885,0.05755395683453238,0.5467625899280576,0.38848920863309355
ALAMANCE-05,2555,2500,0.5135029354207437,0.5328,0.6407045009784735,0.030543677458766034,0.44593769089798413,0.5210751374465485
